,pickup_index,pickup_name,pickup_district,pickup_latitude,pickup_longitude,index_dropoff,name_dropoff,district_dropoff,latitude_dropoff,longitude_dropoff,Frequency,route
308,35,"Beilngries, Freibad",Beilngries,49.027045,11.473085,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,1,"[[11.47307, 49.027061], [11.477017, 49.028614], [11.477388, 49.030375], [11.478224, 49.028922], [11.476462, 49.025306], [11.470795, 49.024173], [11.468496, 49.024273], [11.460416, 49.028834], [11.454831, 49.029911], [11.453078, 49.029382], [11.451017, 49.02752], [11.447935, 49.020698], [11.448829, 49.010366], [11.446993, 49.004932], [11.442703, 49.000286], [11.437049, 48.996991], [11.430861, 48.995461], [11.421884, 48.9956], [11.395785, 49.002886], [11.393164, 49.002397], [11.387725, 48.999773], [11.381634, 48.999352], [11.377161, 48.998039], [11.375167, 48.997237], [11.374025, 48.995708], [11.376023, 48.99308], [11.376132, 48.992827], [11.377329, 48.992203]]"
44,1,"Enkering, Maibaum",Enkering,48.992498,11.363953,23,"Beilngries, An der Leitn",Beilngries,49.030037,11.484332,1,"[[11.363964, 48.992501], [11.364354, 48.99223], [11.364872, 48.992329], [11.364776, 48.99512], [11.366705, 48.997933], [11.370727, 48.998943], [11.374726, 48.997799], [11.376743, 48.997834], [11.381124, 48.999265], [11.388853, 49.000183], [11.393164, 49.002397], [11.39631, 49.002865], [11.421884, 48.9956], [11.430861, 48.995461], [11.437794, 48.99731], [11.444376, 49.001669], [11.447371, 49.005663], [11.448829, 49.010366], [11.447935, 49.020698], [11.450814, 49.027247], [11.454409, 49.02998], [11.460416, 49.028834], [11.468496, 49.024273], [11.476065, 49.025138], [11.476639, 49.025063], [11.478241, 49.029281], [11.47485, 49.033217], [11.477608, 49.034099], [11.481855, 49.031147], [11.484253, 49.03006], [11.484308, 49.030022]]"
43,1,"Enkering, Maibaum",Enkering,48.992498,11.363953,21,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793,1,"[[11.363964, 48.992501], [11.364354, 48.99223], [11.364872, 48.992329], [11.364776, 48.99512], [11.366705, 48.997933], [11.370727, 48.998943], [11.374726, 48.997799], [11.376743, 48.997834], [11.381124, 48.999265], [11.388853, 49.000183], [11.393164, 49.002397], [11.39631, 49.002865], [11.421884, 48.9956], [11.430861, 48.995461], [11.437794, 48.99731], [11.444376, 49.001669], [11.447371, 49.005663], [11.448829, 49.010366], [11.447935, 49.020698], [11.450814, 49.027247], [11.454409, 49.02998], [11.460416, 49.028834], [11.468496, 49.024273], [11.476065, 49.025138], [11.476639, 49.025063], [11.478241, 49.029281], [11.47485, 49.033217], [11.475736, 49.033524]]"
42,1,"Enkering, Maibaum",Enkering,48.992498,11.363953,11,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705,1,"[[11.363964, 48.992501], [11.364354, 48.99223], [11.364872, 48.992329], [11.364776, 48.99512], [11.365776, 48.997146], [11.366705, 48.997933], [11.370727, 48.998943], [11.374726, 48.997799], [11.376743, 48.997834], [11.381124, 48.999265], [11.386465, 48.999525], [11.388853, 49.000183], [11.393564, 49.002537], [11.396593, 49.002834], [11.401773, 49.001444], [11.410253, 48.998525], [11.418904, 48.996186], [11.424633, 48.99531], [11.429477, 48.995345], [11.434164, 48.99605], [11.43867, 48.997718], [11.444376, 49.001669], [11.446993, 49.004932], [11.447555, 49.004787], [11.447441, 49.004626], [11.447694, 49.00458]]"
41,1,"Enkering, Maibaum",Enkering,48.992498,11.363953,10,"Pfraundorf, Dorfplatz",Pfraundorf,49.005142,11.445253,1,"[[11.363964, 48.992501], [11.364354, 48.99223], [11.364872, 48.992329], [11.364776, 48.99512], [11.365776, 48.997146], [11.366705, 48.997933], [11.370727, 48.998943], [11.374726, 48.997799], [11.376743, 48.997834], [11.381124, 48.999265], [11.386465, 48.999525], [11.388853, 49.000183], [11.393564, 49.002537], [11.396593, 49.002834], [11.401773, 49.001444], [11.410253, 48.998525], [11.418904, 48.996186], [11.424633, 48.99531], [11.429477, 48.995345], [11.434164, 48.99605], [11.43867, 48.997718], [11.444376, 49.001669], [11.446993, 49.004932], [11.445208, 49.005151]]"
38,1,"Enkering, Maibaum",Enkering,48.992498,11.363953,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,1,"[[11.363964, 48.992501], [11.364354, 48.99223], [11.364872, 48.992329], [11.364654, 48.993457], [11.364642, 48.994401], [11.364776, 48.99512], [11.365776, 48.997146], [11.366245, 48.997663], [11.366705, 48.997933], [11.370068, 48.998862], [11.370727, 48.998943], [11.371638, 48.998852], [11.373721, 48.998048], [11.374726, 48.997799], [11.376743, 48.997834], [11.37683, 48.997771], [11.37672, 48.997565], [11.375675, 48.997513], [11.375167, 48.997237], [11.374169, 48.996293], [11.374025, 48.995708], [11.37427, 48.995574], [11.374953, 48.993762], [11.3752, 48.993529], [11.376023, 48.99308], [11.376132, 48.992827], [11.377329, 48.992203]]"
35,0,"Kinding, Bahnhof",Kinding,48.992168,11.377365,63,Biberbach,Gösselthal,49.058095,11.451557,1,"[[11.377329, 48.992203], [11.375053, 48.99364], [11.374025, 48.995708], [11.37533, 48.997349], [11.376993, 48.997743], [11.381124, 48.999265], [11.388853, 49.000183], [11.393164, 49.002397], [11.39631, 49.002865], [11.421884, 48.9956], [11.430861, 48.995461], [11.437794, 48.99731], [11.444376, 49.001669], [11.447371, 49.005663], [11.448829, 49.010366], [11.447935, 49.020698], [11.450814, 49.027247], [11.454409, 49.02998], [11.457999, 49.031947], [11.46274, 49.032955], [11.470053, 49.036116], [11.465442, 49.037579], [11.463268, 49.042487], [11.460228, 49.043562], [11.459849, 49.044331], [11.461379, 49.044439], [11.462209, 49.045299], [11.46284, 49.050763], [11.458283, 49.056386], [11.451505, 49.058123]]"
336,38,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,33,"Beilngries, Bauhofstraße",Beilngries,49.031608,11.461872,1,"[[11.502278, 49.010344], [11.502364, 49.01037], [11.503847, 49.010281], [11.504525, 49.009376], [11.506055, 49.00896], [11.507309, 49.010064], [11.50774, 49.011367], [11.507452, 49.012435], [11.50605, 49.013747], [11.504196, 49.014404], [11.500842, 49.014625], [11.486974, 49.017081], [11.480138, 49.019306], [11.477986, 49.020303], [11.476244, 49.021774], [11.475698, 49.023419], [11.476275, 49.024939], [11.476639, 49.025063], [11.476462, 49.025306], [11.473902, 49.025084], [11.470795, 49.024173], [11.468496, 49.024273], [11.466725, 49.024943], [11.464121, 49.026809], [11.460416, 49.028834], [11.458643, 49.029323], [11.455994, 49.029433], [11.454831, 49.029911], [11.455219, 49.030536], [11.457115, 49.031581], [11.460455, 49.032478], [11.461834, 49.031585]]"
332,38,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,28,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,1,"[[11.502278, 49.010344], [11.502364, 49.01037], [11.503847, 49.010281], [11.504525, 49.009376], [11.506055, 49.00896], [11.507309, 49.010064], [11.50774, 49.011367], [11.507452, 49.012435], [11.50605, 49.013747], [11.504196, 49.014404], [11.500842, 49.014625], [11.486974, 49.017081], [11.480138, 49.019306], [11.477986, 49.020303], [11.476244, 49.021774], [11.475698, 49.023419], [11.476275, 49.024939], [11.476639, 49.025063], [11.478207, 49.029462], [11.475146, 49.032664], [11.474249, 49.034595], [11.474473, 49.034703], [11.471199, 49.036536], [11.471045, 49.036904]]"
331,38,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,25,"Beilngries, Ottmaringer Straße",Beilngries,49.038975,11.480128,1,"[[11.502278, 49.010344], [11.502364, 49.01037], [11.503847, 49.010281], [11.504525, 49.009376], [11.506055, 49.00896], [11.507309, 49.010064], [11.50774, 49.011367], [11.507452, 49.012435], [11.50605, 49.013747], [11.504196, 49.014404], [11.500842, 49.014625], [11.486974, 49.017081], [11.480138, 49.019306], [11.477986, 49.020303], [11.476244, 49.021774], [11.475698, 49.023419], [11.476275, 49.024939], [11.476639, 49.025063], [11.478241, 49.029281], [11.47485, 49.033217], [11.477608, 49.034099], [11.477492, 49.038159], [11.476643, 49.038907], [11.477996, 49.039424], [11.478797, 49.038864], [11.480132, 49.038965]]"
